Affordable Studios & 1 BedRooms on South U,"1325 South University Avenue Ann Arbor, MI 48104",1,1,Apartment,"$850 to $1,199","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/v6tr22,42.2751142,-83.7323747
Affordable Studios & 1 BedRooms on Campus,"514 South Forest Avenue Ann Arbor, MI 48104",Studio,1,Apartment,"$895 to $1,199","Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/7mmz7l,42.2759223,-83.7334236
Island Drive Apartments,"1099 Maiden Lane Ann Arbor, MI 48105",Studio,1,Apartment,$945 to $970,Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/wyjppt,42.2881813,-83.7340331
Spice Tree Apartments,"4854 Washtenaw Avenue Ann Arbor, MI 48108",Studio,1,Apartment,$965 ,Move-In: Available Now,Pets Allowed,Off-Street Parking,http://offcmp.us/wf43m9,42.24743,-83.664454
Shoreview Apartments,"420 Kellogg Street Ann Arbor, MI 48105",1,1,Apartment,"$980 to $1,200",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Off-Street Parking, On-Street Parking",http://offcmp.us/9pl2h2,42.2929368,-83.7419515
Park Place of Northville,"43001 Northville Place Drive Northville, MI 48167",1,1,Apartment,"$989 to $1,124",Move-In: Available Now,Pets Allowed,Off-Street Parking,http://offcmp.us/2s6mqq,42.4351583,-83.4692314
Cozy Studio- 1328 Washtenaw,"1328 Washtenaw Avenue Ann Arbor, MI 48104",Studio,1,Apartment,$999 ,"Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/prc7z7,42.2754811,-83.7324286
HUB Ann Arbor,"603 East Huron Street Ann Arbor, MI 48104",Studio,1,Apartment,$999 ,Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/ck972l,42.2815492,-83.741993
Spice Tree Apartments,"4854 Washtenaw Avenue Ann Arbor, MI 48108",1,1,Apartment,"$1,010 to $1,200",Move-In: Available Now,Pets Allowed,Off-Street Parking,http://offcmp.us/xpcd04,42.24743,-83.664454
1 BedRoom on Campus,"1307 Washtenaw Avenue Ann Arbor, MI 48104",1,1,Apartment,"$1,049 ","Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/d97k10,42.2763304,-83.7324691
Island Drive Apartments,"1099 Maiden Lane Ann Arbor, MI 48105",1,1,Apartment,"$1,065 to $1,130",Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/kpwfgk,42.2881813,-83.7340331
Shoreview Apartments,"420 Kellogg Street Ann Arbor, MI 48105",2,1,Apartment,"$1,120 to $1,420",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Off-Street Parking, On-Street Parking",http://offcmp.us/vytm5b,42.2929368,-83.7419515
Park Place of Northville,"43001 Northville Place Drive Northville, MI 48167",2,2,Apartment,"$1,140 to $1,525",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Off-Street Parking,http://offcmp.us/0yrnf8,42.4351583,-83.4692314
Spice Tree Apartments,"4854 Washtenaw Avenue Ann Arbor, MI 48108",2,1,Apartment,"$1,175 to $1,310",Move-In: Available Now,Pets Allowed,Off-Street Parking,http://offcmp.us/8ragpy,42.24743,-83.664454
